Matricule;Nom;Prénom;Sexe;Matière;Note;Barème
E1-CE1A-002;Amavi;Suzanne;F;Informatique;6.60;10.00
E1-CE1A-002;Amavi;Suzanne;F;J'apprends à lire;6.80;10.00
E1-CE1A-002;Amavi;Suzanne;F;Je sais écrire les mots;7.00;10.00
E1-CE1A-002;Amavi;Suzanne;F;Je sais utiliser ce que j'ai appris;7.20;10.00
E1-CE1A-002;Amavi;Suzanne;F;Mathématiques;7.40;10.00
E1-CE1A-002;Amavi;Suzanne;F;Problème;7.60;10.00
E1-CE1A-002;Amavi;Suzanne;F;Sciences et technologies;7.80;10.00
E1-CE1A-002;Amavi;Suzanne;F;Sciences humaines;8.00;10.00
E1-CE1A-043;Assi;Mawuli;M;Anglais;6.20;10.00
E1-CE1A-043;Assi;Mawuli;M;Calcul mental;6.30;10.00
E1-CE1A-043;Assi;Mawuli;M;Chant;6.50;10.00
E1-CE1A-043;Assi;Mawuli;M;Education artistique et culturelle;6.70;10.00
E1-CE1A-043;Assi;Mawuli;M;Education sociale;6.90;10.00
E1-CE1A-043;Assi;Mawuli;M;Informatique;7.10;10.00
E1-CE1A-043;Assi;Mawuli;M;J'apprends à lire;7.30;10.00
E1-CE1A-043;Assi;Mawuli;M;Je sais écrire les mots;7.50;10.00
E1-CE1A-043;Assi;Mawuli;M;Je sais utiliser ce que j'ai appris;7.70;10.00
E1-CE1A-043;Assi;Mawuli;M;Mathématiques;7.90;10.00
E1-CE1A-043;Assi;Mawuli;M;Problème;8.10;10.00
E1-CE1A-043;Assi;Mawuli;M;Sciences et technologies;8.20;10.00
E1-CE1A-043;Assi;Mawuli;M;Sciences humaines;8.40;10.00
E1-CE1A-007;Atakora;Gilbert;M;Anglais;6.60;10.00
E1-CE1A-007;Atakora;Gilbert;M;Calcul mental;6.80;10.00
E1-CE1A-007;Atakora;Gilbert;M;Chant;7.00;10.00
E1-CE1A-007;Atakora;Gilbert;M;Education artistique et culturelle;7.20;10.00
E1-CE1A-007;Atakora;Gilbert;M;Education sociale;7.40;10.00
E1-CE1A-007;Atakora;Gilbert;M;Informatique;7.60;10.00
E1-CE1A-007;Atakora;Gilbert;M;J'apprends à lire;7.80;10.00
E1-CE1A-007;Atakora;Gilbert;M;Je sais écrire les mots;7.90;10.00
E1-CE1A-007;Atakora;Gilbert;M;Je sais utiliser ce que j'ai appris;8.10;10.00
E1-CE1A-007;Atakora;Gilbert;M;Mathématiques;8.30;10.00
E1-CE1A-007;Atakora;Gilbert;M;Problème;8.50;10.00
E1-CE1A-007;Atakora;Gilbert;M;Sciences et technologies;8.70;10.00
E1-CE1A-007;Atakora;Gilbert;M;Sciences humaines;8.90;10.00
E1-CE1A-008;Atakora;Joelle;F;Anglais;7.10;10.00
E1-CE1A-008;Atakora;Joelle;F;Calcul mental;7.30;10.00
E1-CE1A-008;Atakora;Joelle;F;Chant;7.50;10.00
E1-CE1A-008;Atakora;Joelle;F;Education artistique et culturelle;7.70;10.00
E1-CE1A-008;Atakora;Joelle;F;Education sociale;7.90;10.00
E1-CE1A-008;Atakora;Joelle;F;Informatique;8.00;10.00
E1-CE1A-008;Atakora;Joelle;F;J'apprends à lire;8.20;10.00
E1-CE1A-008;Atakora;Joelle;F;Je sais écrire les mots;8.40;10.00
E1-CE1A-008;Atakora;Joelle;F;Je sais utiliser ce que j'ai appris;8.60;10.00
E1-CE1A-008;Atakora;Joelle;F;Mathématiques;8.80;10.00
E1-CE1A-008;Atakora;Joelle;F;Problème;9.00;10.00
E1-CE1A-008;Atakora;Joelle;F;Sciences et technologies;9.20;10.00
E1-CE1A-008;Atakora;Joelle;F;Sciences humaines;9.40;10.00
E1-CE1A-009;Ayi;Benoit;M;Anglais;7.60;10.00
E1-CE1A-009;Ayi;Benoit;M;Calcul mental;7.80;10.00
E1-CE1A-009;Ayi;Benoit;M;Chant;7.90;10.00
E1-CE1A-009;Ayi;Benoit;M;Education artistique et culturelle;8.10;10.00
E1-CE1A-009;Ayi;Benoit;M;Education sociale;8.30;10.00
E1-CE1A-009;Ayi;Benoit;M;Informatique;8.50;10.00
E1-CE1A-009;Ayi;Benoit;M;J'apprends à lire;8.70;10.00
E1-CE1A-009;Ayi;Benoit;M;Je sais écrire les mots;8.90;10.00
E1-CE1A-009;Ayi;Benoit;M;Je sais utiliser ce que j'ai appris;9.10;10.00
E1-CE1A-009;Ayi;Benoit;M;Mathématiques;9.30;10.00
E1-CE1A-009;Ayi;Benoit;M;Problème;9.50;10.00
E1-CE1A-009;Ayi;Benoit;M;Sciences et technologies;9.70;10.00
E1-CE1A-009;Ayi;Benoit;M;Sciences humaines;5.70;10.00
E1-CE1A-033;Ayi;Fati;F;Anglais;8.00;10.00
E1-CE1A-033;Ayi;Fati;F;Calcul mental;8.20;10.00
E1-CE1A-033;Ayi;Fati;F;Chant;8.40;10.00
E1-CE1A-033;Ayi;Fati;F;Education artistique et culturelle;8.60;10.00
E1-CE1A-033;Ayi;Fati;F;Education sociale;8.80;10.00
E1-CE1A-033;Ayi;Fati;F;Informatique;9.00;10.00
E1-CE1A-033;Ayi;Fati;F;J'apprends à lire;9.20;10.00
E1-CE1A-033;Ayi;Fati;F;Je sais écrire les mots;9.40;10.00
E1-CE1A-033;Ayi;Fati;F;Je sais utiliser ce que j'ai appris;9.50;10.00
E1-CE1A-033;Ayi;Fati;F;Mathématiques;5.60;10.00
E1-CE1A-033;Ayi;Fati;F;Problème;5.80;10.00
E1-CE1A-033;Ayi;Fati;F;Sciences et technologies;6.00;10.00
E1-CE1A-033;Ayi;Fati;F;Sciences humaines;6.20;10.00
E1-CE1A-017;Badji;Ghislaine;F;Anglais;8.50;10.00
E1-CE1A-017;Badji;Ghislaine;F;Calcul mental;8.70;10.00
E1-CE1A-017;Badji;Ghislaine;F;Chant;8.90;10.00
E1-CE1A-017;Badji;Ghislaine;F;Education artistique et culturelle;9.10;10.00
E1-CE1A-017;Badji;Ghislaine;F;Education sociale;9.30;10.00
E1-CE1A-017;Badji;Ghislaine;F;Informatique;9.50;10.00
E1-CE1A-017;Badji;Ghislaine;F;J'apprends à lire;9.60;10.00
E1-CE1A-017;Badji;Ghislaine;F;Je sais écrire les mots;5.70;10.00
E1-CE1A-017;Badji;Ghislaine;F;Je sais utiliser ce que j'ai appris;5.90;10.00
E1-CE1A-017;Badji;Ghislaine;F;Mathématiques;6.10;10.00
E1-CE1A-017;Badji;Ghislaine;F;Problème;6.30;10.00
E1-CE1A-017;Badji;Ghislaine;F;Sciences et technologies;6.50;10.00
E1-CE1A-017;Badji;Ghislaine;F;Sciences humaines;6.70;10.00
E1-CE1A-012;Bamba;Khadija;F;Anglais;9.00;10.00
E1-CE1A-012;Bamba;Khadija;F;Calcul mental;9.20;10.00
E1-CE1A-012;Bamba;Khadija;F;Chant;9.40;10.00
E1-CE1A-012;Bamba;Khadija;F;Education artistique et culturelle;9.50;10.00
E1-CE1A-012;Bamba;Khadija;F;Education sociale;5.60;10.00
E1-CE1A-012;Bamba;Khadija;F;Informatique;5.80;10.00
E1-CE1A-012;Bamba;Khadija;F;J'apprends à lire;6.00;10.00
E1-CE1A-012;Bamba;Khadija;F;Je sais écrire les mots;6.20;10.00
E1-CE1A-012;Bamba;Khadija;F;Je sais utiliser ce que j'ai appris;6.40;10.00
E1-CE1A-012;Bamba;Khadija;F;Mathématiques;6.60;10.00
E1-CE1A-012;Bamba;Khadija;F;Problème;6.80;10.00
E1-CE1A-012;Bamba;Khadija;F;Sciences et technologies;7.00;10.00
E1-CE1A-012;Bamba;Khadija;F;Sciences humaines;7.20;10.00
E1-CE1A-028;Dado;Cynthia;F;Anglais;9.40;10.00
E1-CE1A-028;Dado;Cynthia;F;Calcul mental;9.60;10.00
E1-CE1A-028;Dado;Cynthia;F;Chant;5.70;10.00
E1-CE1A-028;Dado;Cynthia;F;Education artistique et culturelle;5.90;10.00
E1-CE1A-028;Dado;Cynthia;F;Education sociale;6.10;10.00
E1-CE1A-028;Dado;Cynthia;F;Informatique;6.30;10.00
E1-CE1A-028;Dado;Cynthia;F;J'apprends à lire;6.50;10.00
E1-CE1A-028;Dado;Cynthia;F;Je sais écrire les mots;6.70;10.00
E1-CE1A-028;Dado;Cynthia;F;Je sais utiliser ce que j'ai appris;6.90;10.00
E1-CE1A-028;Dado;Cynthia;F;Mathématiques;7.10;10.00
E1-CE1A-028;Dado;Cynthia;F;Problème;7.20;10.00
E1-CE1A-028;Dado;Cynthia;F;Sciences et technologies;7.40;10.00
E1-CE1A-028;Dado;Cynthia;F;Sciences humaines;7.60;10.00
E1-CE1A-014;Dado;Khadija;F;Anglais;5.80;10.00
E1-CE1A-014;Dado;Khadija;F;Calcul mental;6.00;10.00
E1-CE1A-014;Dado;Khadija;F;Chant;6.20;10.00
E1-CE1A-014;Dado;Khadija;F;Education artistique et culturelle;6.40;10.00
E1-CE1A-014;Dado;Khadija;F;Education sociale;6.60;10.00
E1-CE1A-014;Dado;Khadija;F;Informatique;6.80;10.00
E1-CE1A-014;Dado;Khadija;F;J'apprends à lire;7.00;10.00
E1-CE1A-014;Dado;Khadija;F;Je sais écrire les mots;7.10;10.00
E1-CE1A-014;Dado;Khadija;F;Je sais utiliser ce que j'ai appris;7.30;10.00
E1-CE1A-014;Dado;Khadija;F;Mathématiques;7.50;10.00
E1-CE1A-014;Dado;Khadija;F;Problème;7.70;10.00
E1-CE1A-014;Dado;Khadija;F;Sciences et technologies;7.90;10.00
E1-CE1A-014;Dado;Khadija;F;Sciences humaines;8.10;10.00
E1-CE1A-020;Dado;Tatiana;F;Anglais;6.30;10.00
E1-CE1A-020;Dado;Tatiana;F;Calcul mental;6.50;10.00
E1-CE1A-020;Dado;Tatiana;F;Chant;6.70;10.00
E1-CE1A-020;Dado;Tatiana;F;Education artistique et culturelle;6.80;10.00
E1-CE1A-020;Dado;Tatiana;F;Education sociale;7.00;10.00
E1-CE1A-020;Dado;Tatiana;F;Informatique;7.20;10.00
E1-CE1A-020;Dado;Tatiana;F;J'apprends à lire;7.40;10.00
E1-CE1A-020;Dado;Tatiana;F;Je sais écrire les mots;7.60;10.00
E1-CE1A-020;Dado;Tatiana;F;Je sais utiliser ce que j'ai appris;7.80;10.00
E1-CE1A-020;Dado;Tatiana;F;Mathématiques;8.00;10.00
E1-CE1A-020;Dado;Tatiana;F;Problème;8.20;10.00
E1-CE1A-020;Dado;Tatiana;F;Sciences et technologies;8.40;10.00
E1-CE1A-020;Dado;Tatiana;F;Sciences humaines;8.60;10.00
E1-CE1A-031;Dadzie;Grace;F;Anglais;6.80;10.00
E1-CE1A-031;Dadzie;Grace;F;Calcul mental;6.90;10.00
E1-CE1A-031;Dadzie;Grace;F;Chant;7.10;10.00
E1-CE1A-031;Dadzie;Grace;F;Education artistique et culturelle;7.30;10.00
E1-CE1A-031;Dadzie;Grace;F;Education sociale;7.50;10.00
E1-CE1A-031;Dadzie;Grace;F;Informatique;7.70;10.00
E1-CE1A-031;Dadzie;Grace;F;J'apprends à lire;7.90;10.00
E1-CE1A-031;Dadzie;Grace;F;Je sais écrire les mots;8.10;10.00
E1-CE1A-031;Dadzie;Grace;F;Je sais utiliser ce que j'ai appris;8.30;10.00
E1-CE1A-031;Dadzie;Grace;F;Mathématiques;8.50;10.00
E1-CE1A-031;Dadzie;Grace;F;Problème;8.70;10.00
E1-CE1A-031;Dadzie;Grace;F;Sciences et technologies;8.80;10.00
E1-CE1A-031;Dadzie;Grace;F;Sciences humaines;9.00;10.00
E1-CE1A-035;Diallo;Kwadjo;M;Anglais;7.20;10.00
E1-CE1A-035;Diallo;Kwadjo;M;Calcul mental;7.40;10.00
E1-CE1A-035;Diallo;Kwadjo;M;Chant;7.60;10.00
E1-CE1A-035;Diallo;Kwadjo;M;Education artistique et culturelle;7.80;10.00
E1-CE1A-035;Diallo;Kwadjo;M;Education sociale;8.00;10.00
E1-CE1A-035;Diallo;Kwadjo;M;Informatique;8.20;10.00
E1-CE1A-035;Diallo;Kwadjo;M;J'apprends à lire;8.40;10.00
E1-CE1A-035;Diallo;Kwadjo;M;Je sais écrire les mots;8.50;10.00
E1-CE1A-035;Diallo;Kwadjo;M;Je sais utiliser ce que j'ai appris;8.70;10.00
E1-CE1A-035;Diallo;Kwadjo;M;Mathématiques;8.90;10.00
E1-CE1A-035;Diallo;Kwadjo;M;Problème;9.10;10.00
E1-CE1A-035;Diallo;Kwadjo;M;Sciences et technologies;9.30;10.00
E1-CE1A-035;Diallo;Kwadjo;M;Sciences humaines;9.50;10.00
E1-CE1A-023;Dogo;Afi;F;Anglais;7.70;10.00
E1-CE1A-023;Dogo;Afi;F;Calcul mental;7.90;10.00
E1-CE1A-023;Dogo;Afi;F;Chant;8.10;10.00
E1-CE1A-023;Dogo;Afi;F;Education artistique et culturelle;8.30;10.00
E1-CE1A-023;Dogo;Afi;F;Education sociale;8.40;10.00
E1-CE1A-023;Dogo;Afi;F;Informatique;8.60;10.00
E1-CE1A-023;Dogo;Afi;F;J'apprends à lire;8.80;10.00
E1-CE1A-023;Dogo;Afi;F;Je sais écrire les mots;9.00;10.00
E1-CE1A-023;Dogo;Afi;F;Je sais utiliser ce que j'ai appris;9.20;10.00
E1-CE1A-023;Dogo;Afi;F;Mathématiques;9.40;10.00
E1-CE1A-023;Dogo;Afi;F;Problème;9.60;10.00
E1-CE1A-023;Dogo;Afi;F;Sciences et technologies;5.70;10.00
E1-CE1A-023;Dogo;Afi;F;Sciences humaines;5.90;10.00
E1-CE1A-045;Dossa;Yawovi;M;Anglais;8.20;10.00
E1-CE1A-045;Dossa;Yawovi;M;Calcul mental;8.40;10.00
E1-CE1A-045;Dossa;Yawovi;M;Chant;8.50;10.00
E1-CE1A-045;Dossa;Yawovi;M;Education artistique et culturelle;8.70;10.00
E1-CE1A-045;Dossa;Yawovi;M;Education sociale;8.90;10.00
E1-CE1A-045;Dossa;Yawovi;M;Informatique;9.10;10.00
E1-CE1A-045;Dossa;Yawovi;M;J'apprends à lire;9.30;10.00
E1-CE1A-045;Dossa;Yawovi;M;Je sais écrire les mots;9.50;10.00
E1-CE1A-045;Dossa;Yawovi;M;Je sais utiliser ce que j'ai appris;9.70;10.00
E1-CE1A-045;Dossa;Yawovi;M;Mathématiques;5.80;10.00
E1-CE1A-045;Dossa;Yawovi;M;Problème;6.00;10.00
E1-CE1A-045;Dossa;Yawovi;M;Sciences et technologies;6.20;10.00
E1-CE1A-045;Dossa;Yawovi;M;Sciences humaines;6.30;10.00
E1-CE1A-021;Fiogbe;Kenny;M;Anglais;8.60;10.00
E1-CE1A-021;Fiogbe;Kenny;M;Calcul mental;8.80;10.00
E1-CE1A-021;Fiogbe;Kenny;M;Chant;9.00;10.00
E1-CE1A-021;Fiogbe;Kenny;M;Education artistique et culturelle;9.20;10.00
E1-CE1A-021;Fiogbe;Kenny;M;Education sociale;9.40;10.00
E1-CE1A-021;Fiogbe;Kenny;M;Informatique;9.60;10.00
E1-CE1A-021;Fiogbe;Kenny;M;J'apprends à lire;5.70;10.00
E1-CE1A-021;Fiogbe;Kenny;M;Je sais écrire les mots;5.90;10.00
E1-CE1A-021;Fiogbe;Kenny;M;Je sais utiliser ce que j'ai appris;6.10;10.00
E1-CE1A-021;Fiogbe;Kenny;M;Mathématiques;6.20;10.00
E1-CE1A-021;Fiogbe;Kenny;M;Problème;6.40;10.00
E1-CE1A-021;Fiogbe;Kenny;M;Sciences et technologies;6.60;10.00
E1-CE1A-021;Fiogbe;Kenny;M;Sciences humaines;6.80;10.00
E1-CE1A-048;Gnassingbe;Pascal;M;Anglais;9.10;10.00
E1-CE1A-048;Gnassingbe;Pascal;M;Calcul mental;9.30;10.00
E1-CE1A-048;Gnassingbe;Pascal;M;Chant;9.50;10.00
E1-CE1A-048;Gnassingbe;Pascal;M;Education artistique et culturelle;9.70;10.00
E1-CE1A-048;Gnassingbe;Pascal;M;Education sociale;5.80;10.00
E1-CE1A-048;Gnassingbe;Pascal;M;Informatique;6.00;10.00
E1-CE1A-048;Gnassingbe;Pascal;M;J'apprends à lire;6.10;10.00
E1-CE1A-048;Gnassingbe;Pascal;M;Je sais écrire les mots;6.30;10.00
E1-CE1A-048;Gnassingbe;Pascal;M;Je sais utiliser ce que j'ai appris;6.50;10.00
E1-CE1A-048;Gnassingbe;Pascal;M;Mathématiques;6.70;10.00
E1-CE1A-048;Gnassingbe;Pascal;M;Problème;6.90;10.00
E1-CE1A-048;Gnassingbe;Pascal;M;Sciences et technologies;7.10;10.00
E1-CE1A-048;Gnassingbe;Pascal;M;Sciences humaines;7.30;10.00
E1-CE1A-026;Gnawoto;Octave;M;Anglais;9.60;10.00
E1-CE1A-026;Gnawoto;Octave;M;Calcul mental;5.70;10.00
E1-CE1A-026;Gnawoto;Octave;M;Chant;5.90;10.00
E1-CE1A-026;Gnawoto;Octave;M;Education artistique et culturelle;6.00;10.00
E1-CE1A-026;Gnawoto;Octave;M;Education sociale;6.20;10.00
E1-CE1A-026;Gnawoto;Octave;M;Informatique;6.40;10.00
E1-CE1A-026;Gnawoto;Octave;M;J'apprends à lire;6.60;10.00
E1-CE1A-026;Gnawoto;Octave;M;Je sais écrire les mots;6.80;10.00
E1-CE1A-026;Gnawoto;Octave;M;Je sais utiliser ce que j'ai appris;7.00;10.00
E1-CE1A-026;Gnawoto;Octave;M;Mathématiques;7.20;10.00
E1-CE1A-026;Gnawoto;Octave;M;Problème;7.40;10.00
E1-CE1A-026;Gnawoto;Octave;M;Sciences et technologies;7.60;10.00
E1-CE1A-026;Gnawoto;Octave;M;Sciences humaines;7.80;10.00
E1-CE1A-006;Hounkpe;Afiavi;M;Anglais;5.90;10.00
E1-CE1A-006;Hounkpe;Afiavi;M;Calcul mental;6.10;10.00
E1-CE1A-006;Hounkpe;Afiavi;M;Chant;6.30;10.00
E1-CE1A-006;Hounkpe;Afiavi;M;Education artistique et culturelle;6.50;10.00
E1-CE1A-006;Hounkpe;Afiavi;M;Education sociale;6.70;10.00
E1-CE1A-006;Hounkpe;Afiavi;M;Informatique;6.90;10.00
E1-CE1A-006;Hounkpe;Afiavi;M;J'apprends à lire;7.10;10.00
E1-CE1A-006;Hounkpe;Afiavi;M;Je sais écrire les mots;7.30;10.00
E1-CE1A-006;Hounkpe;Afiavi;M;Je sais utiliser ce que j'ai appris;7.50;10.00
E1-CE1A-006;Hounkpe;Afiavi;M;Mathématiques;7.70;10.00
E1-CE1A-006;Hounkpe;Afiavi;M;Problème;7.80;10.00
E1-CE1A-006;Hounkpe;Afiavi;M;Sciences et technologies;8.00;10.00
E1-CE1A-006;Hounkpe;Afiavi;M;Sciences humaines;8.20;10.00
E1-CE1A-019;Kafui;Abla;F;Anglais;6.40;10.00
E1-CE1A-019;Kafui;Abla;F;Calcul mental;6.60;10.00
E1-CE1A-019;Kafui;Abla;F;Chant;6.80;10.00
E1-CE1A-019;Kafui;Abla;F;Education artistique et culturelle;7.00;10.00
E1-CE1A-019;Kafui;Abla;F;Education sociale;7.20;10.00
E1-CE1A-019;Kafui;Abla;F;Informatique;7.40;10.00
E1-CE1A-019;Kafui;Abla;F;J'apprends à lire;7.60;10.00
E1-CE1A-019;Kafui;Abla;F;Je sais écrire les mots;7.70;10.00
E1-CE1A-019;Kafui;Abla;F;Je sais utiliser ce que j'ai appris;7.90;10.00
E1-CE1A-019;Kafui;Abla;F;Mathématiques;8.10;10.00
E1-CE1A-019;Kafui;Abla;F;Problème;8.30;10.00
E1-CE1A-019;Kafui;Abla;F;Sciences et technologies;8.50;10.00
E1-CE1A-019;Kafui;Abla;F;Sciences humaines;8.70;10.00
E1-CE1A-047;Kafui;Noel;M;Anglais;6.90;10.00
E1-CE1A-047;Kafui;Noel;M;Calcul mental;7.10;10.00
E1-CE1A-047;Kafui;Noel;M;Chant;7.30;10.00
E1-CE1A-047;Kafui;Noel;M;Education artistique et culturelle;7.50;10.00
E1-CE1A-047;Kafui;Noel;M;Education sociale;7.60;10.00
E1-CE1A-047;Kafui;Noel;M;Informatique;7.80;10.00
E1-CE1A-047;Kafui;Noel;M;J'apprends à lire;8.00;10.00
E1-CE1A-047;Kafui;Noel;M;Je sais écrire les mots;8.20;10.00
E1-CE1A-047;Kafui;Noel;M;Je sais utiliser ce que j'ai appris;8.40;10.00
E1-CE1A-047;Kafui;Noel;M;Mathématiques;8.60;10.00
